FEI Number,Recalling Firm Name,Product Type,Product Classification,Status,Distribution Pattern,Nationwide,Recalling Firm City,Recalling Firm State,Recalling Firm Country,Center Classification Date,Reason for Recall,Reason Category,Product Description,Event ID,Event Classification,Product ID
3030822181,NATURIPE VALUE ADDED FRESH LLC,Food/Cosmetics,Class I,Ongoing,"Distribution centers located in the following states: IN, MI, OH, TN, VA, WI

Sub-account/retail stores located in the following states: AK, IL, IN, KY, MI, MN, MO, MS, OH, TN, VA, WI, WV",No,Estero,Florida,United States,2025-03-14,"Incorrect back label on product which caused undeclared allergens (wheat, eggs)",Undeclared,"Berry Buddies; Blueberries, Mini Pancakes & Real Maple Syrup; NET WT 2.1 oz (60 g); 3-compartment non-flex plastic container with heat-sealed plastic film containing mini pancakes, blueberries, and maple syrup",96322,Class I,212547
3004354068,"Optima Foods, Inc.",Food/Cosmetics,Class II,Ongoing,NY,No,Deer Park,New York,United States,2025-03-14,Contains undeclared milk,Undeclared,"Domna's Bakery 24 PC Baklava Tray	330043	8	
",96408,Class II,212802
1461058,ZB Importing LLC,Food/Cosmetics,Class I,Completed,"Products were distributed through retail stores in Ontario, Canada and the following US states AL, AR, CA, CT, CO, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MN, MO, MS, NE, NC, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, WA, WI and WV.",No,Cicero,Illinois,United States,2025-03-13,Undeclared egg,Undeclared,"Ulker Rulokat Hazelnut Wafers, item 3865, 6oz plastic cylinder, 6 per case,  UPC 8690766086473

 
",96337,Class I,212747
2937473,"Mauna Loa Macadamia Nut Company, LLC",Food/Cosmetics,Class I,Ongoing,Distributed in CA and MI.,No,Keaau,Hawaii,United States,2025-03-13,Undeclared almonds,Undeclared,"Mauna Loa Milk Chocolate Covered Macadamias product is a snack product and packaged in plastic 1oz pouch. Each carton contains 12 pouches, and each master case contains 12 cartons.

Retail Pouch (1oz pouch) UPC: 0 72992 04260 3
Carton (12 pouches) UPC: 72992 04261
Master Case (12 cartons/12 pouches) UPC: 72992 04262

The ingredients statement declares: Milk Chocolate (Sugar, Cocoa Butter, Milk, Chocolate, Soy Lecithin (emulsifier), Vanilla), Dry Roasted Macadamia Nuts, Powdered Sugar (Sugar,  Corn Starch), Maltodextrin, Confectionary Glaze, Sugar.  CONTAINS: Tree nuts (Macadamia), Milk, and Soy.
",96317,Class I,212543
3015172642,LITTLE LEAF FARMS LLC,Food/Cosmetics,Class I,Ongoing,"MA, NH, CT",No,Shirley,Massachusetts,United States,2025-03-13,"Product may contain incorrect salad dressing, resulting in fish and wheat being undeclared.",Undeclared,"Little Leaf Farms brand Southwest Salad Kit; 7.5 oz, clear plastic clamshell; UPC: 857394006220",96409,Class I,212804
2916258,"Del Monte Foods, Inc",Food/Cosmetics,Class II,Ongoing,"AL, AZ, CA, CO, GA, IA, IL, IN, KS, MI, MN, NC, NJ, NY, OH, OR, PA, SC, TX, VA, WI",No,Walnut Creek,California,United States,2025-03-13,Foreign Object,Others,"Good & Gather Cut Green Beans.  Net Wt. 14.5 oz (411g).  UPC 0 85239-11628 9.  Dist. By Target Corporation, Minneapolis, MN  55403.",96336,Class II,212582
3015274099,HEB,Food/Cosmetics,Class II,Ongoing,Texas,No,San Antonio,Texas,United States,2025-03-13,Potential metal inclusion,Others,"""	Spinach Artichoke Dip (Sold Hot) 1 lb
""	Spinach Artichoke Dip (Sold Cold) 1 lb
""	Spinach Artichoke Dip (Sold in Bulk for Customer Self Service)",96280,Class II,212470
3010146466,San Miguel Nuts Corp.,Food/Cosmetics,Class III,Completed,The recalled product was distributed to the following states: NJ,No,Passaic,New Jersey,United States,2025-03-13,Undeclared color on label,Undeclared,"Mi More snacks, Coco Bandera, 3 oz. Plastic container, 8 per container, 20 per case box",96254,Class III,212430
3014652756,"Uncle Rays, LLC",Food/Cosmetics,Class II,Ongoing,"Product distributed to customers in OH, NV and TX",No,Montgomery City,Missouri,United States,2025-03-12,Product contains higher sodium amount than stated on label,Others,"Coyote Valley Sour Cream & Onion Chips, Net Wt. 5oz, UPC 744234810775, Item # 8014265, Food Express USA, Dallas, TX 75261",96403,Class II,212789
3014357569,DANONE WAVE,Food/Cosmetics,Class II,Ongoing,"The product was shipped to the following states: AL, AR, CO, CT, FL, GA, IL, IN, KY, LA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WI & WY.",No,Louisville,Colorado,United States,2025-03-12,The firm received complaints of spoilage and illness with the use of the products.,Others,"CINNABON CLASSIC CINNAMON ROLL INTERNATIONAL delight COFFEE CREAMER 32 FL OZ (1 QT) 946 mL UPC 0 41271 01993 3 Distributed by: Danone US, LLC",96378,Class II,212695
1628744,"Mi Ranchito Foods, Incorporated",Food/Cosmetics,Class II,Terminated,Distributed in New Mexico.,No,Bayard,New Mexico,United States,2025-03-12,Milk not listed in the ingredients or included in parentheses after American Cheese.,Others,"Green Chile Bean Burrito, 15 days refrigerated at 33   45 degrees Fahrenheit.  120 days frozen at or below 32 degrees Fahrenheit.  Packaged in cellophane wrapper.  Net wt. 10 ounces, UPC #21856 11136.  Mi Ranchito Foods, Inc.  606 Central Avenue, Bayard, NM  88023",96283,Class II,212473
3005269143,"Stiebs, LLC",Food/Cosmetics,Class II,Ongoing,"7 distribution centers located in CA, CT, IL, PA, TX, VA",No,Madera,California,United States,2025-03-11,Potential contamination with blue pieces of plastic,Others,"Organic Acai Bowl with berries, bananas, granola and dried coconut; 
Net Wt. 10 oz (284g); Frozen storage; Packaged in paper bowl with heat-sealed plastic film",96260,Class II,212447
3012161792,"Shearer's Foods, LLC",Food/Cosmetics,Class II,Ongoing,"Product distributed to customers in the following states: AL, CA, CO, FL, GA, IL, IN, KS, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, OR, PA, TX, VA, WA, and WI.",No,Massillon,Ohio,United States,2025-03-11,Potential foreign material (stainless steel wire),Others,"1.) Market Pantry Soup & Oyster Crackers, NET WT 9 OZ (255g), packaged in flexible plastic bags, 12 count per case, Distributed By: Target Corporation, Minneapolis, MN 55403 

2.) Great Value Soup & Oyster Crackers, NET WT 9 OZ (255g), packaged in flexible plastic bags, 12 count per case, Distributed By: Walmart, Inc., Bentonville, AR 72716

3.) Giant Eagle Oyster Crackers, NET WT 9 OZ (255g), packaged in flexible plastic bags, 12 count per case, Distributed By: Giant Eagle, Inc., Pittsburgh, PA 15238

4.) VISTA Soup & Oyster Crackers, NET WT 12 OZ (340g), packaged in flexible plastic bags, 12 count per case, Manufactured By: Shearer's Foods LLC, 100 Lincoln Way East, Massillon, OH 44646 

5.) 20lb. Bulk Oyster Crackers, NET WT. 20 LBS., packaged in 20 lb. bulk bag-in-box (not for sale at retail)",96389,Class II,212757
3018296618,Chicken of the Sea; Thai Union,Food/Cosmetics,Class II,Ongoing,Product was distributed nationwide.,Yes,El Segundo,California,United States,2025-03-11,Product's easy-pull lid was not secured properly and may cause the product to become adulterated with the hazard clostridium botulinum.,Others,"Genova branded Solid white Tuna; In Olive Oil; Wild Caught; NET WT. 5 OZ (142g) RD WT. 4 OZ (113g); Distributed by Tri-Union Seafoods, LLC.; El Sugundo, CA 90245 U.S.A. UPC# 48000 00215,
",96258,Class II,212437
3009690111,Hillyard GMP,Food/Cosmetics,Class II,Ongoing,"Various distribution centers nationwide including CA, CO, MO, IA, MN, CT, PA, OH, MT, NY, GA, IL, NC, SC, VA, WA, OR, FL, MI",Yes,Saint Joseph,Missouri,United States,2025-03-11,Pseudomonas putida bacterial contamination in foaming hand soap,Pseudomonas,"Hillyard Green Select Foaming Hand Soap, Net Contents: 1 US GAL, Hillyard Industries St. Joseph, Missouri 64502, UPC: 780458002381; Case Label: HIL0039006 Affinity Green Select Foaming Hand Soap, Exp. Date: 10/26 or 11/26, Batch/Lot 1099002, 1099307, 1099308",96316,Class II,212542
3017310620,JE Bakery 2019 LLC,Food/Cosmetics,Class I,Completed,MN and WI,No,Minneapolis,Minnesota,United States,2025-03-10,Undeclared allergen (walnuts),Undeclared,"Raisin Bran muffins, 6 count.  Net Wt. 12.0 oz (0.75 lb) UPC 0 29341-00233 7.  Labeled with the following store brands:  Cub Foods, Jerrys Foods, and County Market",96295,Class I,212502
3008878487,Turkana Food Inc.,Food/Cosmetics,Class I,Ongoing,"The recalled product was distributed to the following States: AL, CA, CO, DE, FL, GA, IL, IN, KY, MD, MA, MI, MO, NC, NJ, NY, OH, PA, RI, TN, TX, VA, WI",No,Kenilworth,New Jersey,United States,2025-03-10,Product tested positive for Salmonella,Salmonella,"Aleppo Tahini Sesame Paste, 32oz, Plastic jar, 1lb (16oz), 12 per case",96251,Class I,212420
3035461940,Amazon Retail LLC,Food/Cosmetics,Class I,Ongoing,distributed nationwide.,Yes,Seattle,Washington,United States,2025-03-05,Undeclared egg.,Undeclared,"ASIN B084PZ7K98, Amazon Fresh Jumbo Sugar Cookie, 27 oz (12 count), product is baked and packaged in flexible plastic bag. 4-day shelf life. UPC 465712007998.

ASIN B084PX9V31, Amazon Fresh Jumbo Sugar Cookie, 2.3 oz (1 count), product is baked and sold from open pastry tray in store. 0 day shelf life. No UPC.
",96275,Class I,212463
3000209620,"Jesse's Bakery, Inc.",Food/Cosmetics,Class I,Ongoing,Distributed in HI only.,No,Honolulu,Hawaii,United States,2025-03-04,Undeclared Milk.,Undeclared,"Pan de Sal (Spanish Rolls), net wt. 9oz, product is packaged as 6 rolls in a flexible poly bag with printed label on bag. Product label states Jesse s BAKERY, INC 1101 N. King Street Phone: 842-1120/842-1121 Honolulu, Hawaii 96817. UPC 0 38511 00703 4.

The affected label declares ""Ingredient, Enriched Flour (Wheat Flour ***), Water, Sugar, Partially Hydrogenated Soybean Oil, Eggs, Margarine, Yeast, Salt, and Artificial Flavoring""",96284,Class I,212475
1931417,Spicin Foods Inc,Food/Cosmetics,Class II,Ongoing,"All products shipped to one DC in MO, product is further distributed to retail locations and distribution centers in IN, KY, TX, CO, FL, NH, CT, IA, WA, NV, NY, PA, GA, CA, AZ, WI",No,Kansas City,Kansas,United States,2025-03-04,Customer complaints of bottles foaming when opened,Others,"Noble Made Garlic Parmesan Wing Sauce, net wt 9.25oz, UPC 850000398542, #0897 BEST BY 06/02/2026 14:02 33724 L1, Code: F20920061",96288,Class II,212494
3020633,Pacific Coast Fresh CO,Food/Cosmetics,Class II,Ongoing,"Distributed in Idaho, Oregon, and Washington",No,Portland,Oregon,United States,2025-03-04,Plastic fragments,Others,"Item #96507 and item# 32901, King Harvest Balsamic Hummus, net wt. 10oz., UPC 025726 310097, perishable and refrigerated, packed in sealed plastic tub and lid.  Exclusively by Pacific Coast Fresh Co Portland, Oregon.",96253,Class II,212421
3012884379,JFE FRANCHISING INC,Food/Cosmetics,Class I,Ongoing,"TX, LA, WY, AZ
",No,Houston,Texas,United States,2025-02-28,Potential to be contaminated with Salmonella,Salmonella,"Garden Salad	12 oz
Family Garden Salad	24 oz

packed in clamshells",95886,Class I,211444
3017603797,Health and Happiness (H&H) LLC.,Food/Cosmetics,Class II,Ongoing,"Distributed in the US: IL, TN, CA",No,Orlando,Florida,United States,2025-02-28,Due to foreign object: metal balls (tiny non-magnetic metal balls measuring less than 2mm inside the gummies) intended for children,Others,"Biostime Kids Calm & Sleep Support Fruity Bites Probiotics and Prebiotics Fiber Sachets (gummies), Flexible Sachet packaging, Sample size package (4 Count), EXP: JUL/2025 
Lot : 2413352PSF",96225,Class II,212375
3012142777,Rajbhog Distributors TX Inc.,Food/Cosmetics,Class II,Completed,Texas,No,Dallas,Texas,United States,2025-02-27,Undeclared milk,Undeclared,"Rajbhog Sweets Jelebi Orange, 9.5 oz packages and sold by weight from bulk trays.",96038,Class II,211834
3006717119,"V Chocolates, Inc",Food/Cosmetics,Class II,Terminated,Distributed nationwide within the United States.,Yes,Salt Lake Cty,Utah,United States,2025-02-27,Small pieces of plastic broken tray in the product.,Others,"Assorted Chocolate Caramels with kosher sea salt, Net Weight 1.25lb",96219,Class II,212367
1080213,"FRESHPOINT CENTRAL FLORIDA, INC.",Food/Cosmetics,Class I,Completed,Florida and Georgia,No,Orlando,Florida,United States,2025-02-25,Mislabeled salads (undeclared peanut allergen). Incorrect ingredient applied (peanuts),Undeclared,"Garden Salad 5 oz
Lot # 6620223 Best By: 02.05, 
UPC 766375733300
",96211,Class I,212342
3010252222,"Nestle-USA, Inc. (Corporate Office)",Food/Cosmetics,Class I,Ongoing,"The products were shipped to distribution centers in the following states: AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI and Puerto Rico.",No,Arlington,Virginia,United States,2025-02-25,Firm received complaints of infant choking.,Others,"Gerber Snacks for Baby Soothe 'n' Chew TEETHING STICKS Strawberry Apple NET WT 3.2 OZ (90g) UPC 0 15000 04518 7 GERBER PRODUCTS CO., FREMONT, MI 49413",96226,Class I,212376
3013500027,OCBW INC,Food/Cosmetics,Class II,Ongoing,"Texas, Colorado, New Mexico, Kentucky, Oklahoma, Missouri, Arkansas, California",No,Dallas,Texas,United States,2025-02-25,Undeclared Yellow #5,Undeclared,"Beverage Base Lemonade, 3 gallon, BIB: Best By 12/12/2025;
Beverage Base Lemonade, 5 gallon, BIB: Best By 01/12/2026

",96154,Class II,212144
1311902,Deiorio Foods Inc,Food/Cosmetics,Class II,Ongoing,"TX, MD, WI, CA, CO, NC, AZ, ID, OR, OH, UT",No,Utica,New York,United States,2025-02-25,"Product may be contaminated with foreign objects (white fragments of plastic, varying in length and width).",Others,"5912MOD-CAU 11"" Gluten Free Friendly Cauliflower Shell; Bulk packaged in a blue poly bag, within a corrugated box. 20 units per case; Product UPC: 074542659125; Master Case GTIN: 00074542659125",96190,Class II,212286
3017093,Idaho Pacific Corporation,Food/Cosmetics,Class II,Ongoing,"Distributed in IL, MI, and OR.",No,Rigby,Idaho,United States,2025-02-24,Potato flour was recalled due to undeclared milk (between 13ppm and 17ppm).,Undeclared,"Idaho Pacific Fine Potato Flour, product #20501, packaged in multi-walled Kraft bag, Net Wt. 50lbs. No UPC code. Manufactured by Idaho Pacific Corporation, Ririe, ID 83443.",96199,Class II,212294
2016693,"Arizona Foods Group, Inc.",Food/Cosmetics,Class I,Terminated,Domestic distribution within NV.,No,Phoenix,Arizona,United States,2025-02-21,"Product may contain egg, an undeclared allergen.",Undeclared,"FOOD SERVICE - Mombo s Vanilla Soft Serve Ice Cream Mix, frozen & thawed for Ice cream machines.  Packaged in a half gallon carton   64 oz and placed in cases of 6-units.  Shelf-life is 18 months frozen / 30 days thawed refrigerated.  Carton is a plain white carton with a sticker label on one side and a code on the gable of the opposite side.",96165,Class I,212179
3019762840,Robin J Vos dba TS Food Packaging,Food/Cosmetics,Class II,Ongoing,IN,No,Burlington,Wisconsin,United States,2025-02-20,Undeclared allergen (soy).,Undeclared,"Bacon flavored Popcorn Seasoning packaged under the following brands and sizes:  
1.  Wabash Valley Farms, Net Wt. 4.2 oz (119.1g), UPC 0 19669-00303 1.  Dist. by:  Wabash Valley Farms, Monon, IN  47959.  Made in U.S.A.  
2.  Wabash Valley Farms, Net Wt. 1 oz. (28g), UPC 0 19669-01281 1.  Dist. by:  Wabash Valley Farms, Inc., Monon, IN  47959.  
3.  Rural King, Net Wt. 4.2 oz. (119.1g) UPC 0 19669-01394 8.  Manufactured For:  RK Holdings, LLP, 4216 Dewitt Avenue, Mattoon, IL  61938.  Made in the USA.",96185,Class II,212278
2242471,United Natural Trading Inc. dba Woodstock Farms,Food/Cosmetics,Class II,Ongoing,"The recalled product was distributed to the following states : PA, VA, NY,",No,Edison,New Jersey,United States,2025-02-20,Product mislabeled.  The back label states Organic Cashews.  The front product label states Wegmans Organic unsalted dry roasted almonds. The front label is correct label for this product.,Others,"Wegmans, Organic Almonds Dry Roasted Salted, 12oz clear bag, 12 bags per case.",96228,Class II,212383
3003014901,"Jack & The Green Sprouts, Inc.",Food/Cosmetics,Class I,Ongoing,"IA, MN, WI",No,River Falls,Wisconsin,United States,2025-02-19,Sprouts have the potential to be contaminated with Listeria monocytogenes,Listeria,"Jack & the Green Sprouts Alfalfa Sprouts.  Net Weight 5 oz. (152g).  UPC 7 63247-19891 5.  Keep Refrigerated.   Product of USA.  River Falls, WI  54022.",96257,Class I,212436
3024867512,NEW YORK WHOLESALE GROUP,Food/Cosmetics,Class I,Ongoing,"NY, NJ, CT, CA",No,Hicksville,New York,United States,2025-02-19,Product contains elevated levels of lead - 6.50 mg/kg (ppm),Others,"ZAARAH HERBALS brand SHATAVARI POWDER; 100% ASPARAGUS RACEMOSUS; (Supports Female Reproductive System); Supreme Fine Powder 100g (3.5 oz); Manufactured by FALCON SYSTEM OF AYUREVEDIC PRODUCTS Auto Nagar, Belgaum, Karnataka 590015 (INDIA); Manufactured for: ZAARAH HERBALS, USA; packaged in clear bottle with gold lid; UPC: 63502899940",96177,Class I,212253
3026366969,FEEL GOOD FOODS INC,Food/Cosmetics,Class II,Ongoing,Nationwide,Yes,New York,New York,United States,2025-02-19,Foreign object (metal pieces).,Others,Feel Good Foods; Three Cheese Mac & Cheese Bites; NET WT 8oz (224g); packaged in yellow carton; 9 units per case; Frozen; UPC: 89903900280-8,96249,Class II,212415
3004168671,Global Commodities Inc,Food/Cosmetics,Class II,Ongoing,"VA, IL, NJ, GA, MD, NY, FL, MA, OR, MO, CO, OH, PA",No,Hicksville,New York,United States,2025-02-19,Product contains undeclared sulfites (4.66 mg/serving).,Undeclared,"AAHU BARAH brand SOFT PLUM; NET WT. 0.5 LB; Import By: AAHU BARAH USA, INC.; Soft Plum Aloo Bukahara 1/2 LB; *May Contain Sulfites As preservatives; UPC 882475049186; packaged in clear plastic bags.",96187,Class II,212281
3011853376,Apna Wholesale Inc.,Food/Cosmetics,Class I,Terminated,NY and MA,No,Hicksville,New York,United States,2025-02-18,Product contains undeclared sulfites (56.8mg/serving),Undeclared,Paras Premium Golden Raisins; 7 oz and 14 oz; INGREDIENTS: RAISINS; ALLERGEN STATEMENT: Processed in a gluten-free and peanut-free plant; UPC: 818051014811 and 818051014828,96171,Class I,212230
3002842618,Shata Traders Inc.,Food/Cosmetics,Class II,Ongoing,"NY, NJ, CT, MA, MD, VA, NC, DE, PA

",No,Brooklyn,New York,United States,2025-02-18,Product contains undeclared FD&C Yellow 5 and FD&C Yellow 6.,Undeclared,"THREE RIVERS brand TUTTI-FRUTTI; INGREDIENTS Papaya Cubes, Sugar, Citric Acid (E-330), Potassium Sorbate (E-202), FD&C Red #40, FD&C Blue #1, Curcumine #E-100, Annatto #E-160b; Imported & Distributed by SHATA TRADERS; Net Weight - 250 g, 8.81 OZ, 0.55 LBS; UPC: 7 93283 75373 1",96189,Class II,212285
1640900,"Frito-Lay, Inc. Headquarters",Food/Cosmetics,Class I,Ongoing,"Arkansas, Illinois, Indiana, Iowa, Kansas, Kentucky, Minnesota, Mississippi, Nebraska, Utah and Wisconsin.",No,Plano,Texas,United States,2025-02-13,Undeclared milk allergen,Undeclared,"Pearl Milling Company Original Pancake & Waffle Mix	
32 OZ (2LB) 907g	
30000 65040
BBD SEP 13 25 P 
 	 

",96134,Class I,212086
3030970198,PIU CHE DOLCI INC.,Food/Cosmetics,Class I,Ongoing,Distributed in the states of NJ and FL.,No,Laval,-,Canada,2025-02-13,Due to potential Salmonella contamination,Salmonella,"Sweet Cream Mini Patisseries, 30 piece variety tray of mini pastries, Net Wt 1 kg, 4 trays per master carton, total Net wt 8.8 lbs, Keep Frozen, All best before dates from 2025/06/17 up to and including 2025/11/15.",96217,Class I,212365
3012539939,AKT Trading Inc.,Food/Cosmetics,Class I,Ongoing,Product was sold only to one local direct account with several retail locations all in the Southern California area.,No,Torrance,California,United States,2025-02-13,"CHOSHIYA branded MENMA AJITSUKE PREPARED BAMBOO SHOOTS missing ""Keep Refrigerated"" statement on package and are not shelf stable.",Others,"Menma Ajitsuke prepared bamboo shoots; Product of Japan; Manufactured by: Choshiya Honten CO., LTD. 
Hamamatsu 431-1103 Japan UPC 4 923673 527332. 
Product is packaged in 8.8 OZ Plastic Pouches. 60 units per case.",96243,Class I,212411
3008206220,Bridgewell Agribusiness LLC,Food/Cosmetics,Class II,Ongoing,Distributed in NY only.,No,Clackamas,Oregon,United States,2025-02-13,Foreign material appears to be white nylon or other plastic thread was found in product.,Others,"5912MOD-CAU Pre-Blend, item #991819, is a dry blend. Ingredients consist of Tapioca Starch, Long Grain Rice Flour, Cheese Powder [Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes), Disodium Phosphate, Salt], Rice Starch, Sugar, Salt, Encapsulated Baking Soda (Sodium Bicarbonate, Hydrogenated Soybean, Palm, and/or Cottonseed Oils), Sodium Aluminum Phosphate, Dehydrated Garlic, and Seasoning (Spices, Dehydrated Garlic and Onion, Sunflower Oil).  Product of USA.

Distributed by Bridgewell Agribusiness LLC 12420 SE Carpenter Drive, Clackamas, OR 97015.  Product is packaged in 50lbs. kraft bag and it is intended for further processing. 
",96180,Class II,212263
3021045,The Candy Basket Inc,Food/Cosmetics,Class II,Terminated,"distributed in CA, OR and WA.",No,Portland,Oregon,United States,2025-02-13,"Undeclared Yellow #6, and Sodium Benzoate.
",Undeclared,"Orange Jelly Sticks MILK, item number CB741-M, is packed and sold in bulk 4lbs. boxes.  Product does not have a UPC and is not repackaged for retail. Product was sold out of bulk chocolate cases from candy stores to consumers without any labeling.

Label on bulk 4lbs. box declares ""Ingredients: Milk Chocolate (***soya lecithin***), Sugar, Corn Syrup, Fruit Pectin, ***Vegetable Oil"".  Manufactured By: The Candy Basket, Inc. Portland, OR.
",96157,Class II,212161
2023308,"Wismettac Asian Foods, Inc.",Food/Cosmetics,Class I,Ongoing,The firm does not know how long the issue has been in place as the product label has not changed. For this reason the firm has included all lots. There are 471 consignees nationwide that received this product during the period of distribution.,Yes,Santa Fe Springs,California,United States,2025-02-11,Undeclared allergen (Milk) in Shirakiku brand Curvee Puffs Corn Puff Snack (Curry Flavor),Undeclared,"Front Panel: Shirakiku brand, CURVEE PUFFS CORN PUFF SNACK, Curry Flavor, NET WT 2.46 oz (70 g);
Rear panel:Best Before YYYY.MM.DD; Nutritional Facts: 2.5 servings per container; Distributed by Wismettac Asian Foods, Inc.; 13409 Orden Drive, Santa Fe Spring, CA 90670; Product of Japan; UPC 74410 78512",96160,Class I,212171
